taxa,Phylum,Class,Order,Family,Genus,Species
Stigmatogaster subterranea,Arthropoda,Chilopoda,Geophilomorpha,Himantariidae,Stigmatogaster,Stigmatogaster subterranea
Globiceps sp.,Arthropoda,Insecta,Hemiptera,Miridae,Globiceps,NA
Chironomus anthracinus,Arthropoda,Insecta,Diptera,Chironomidae,Chironomus,Chironomus anthracinus
Hemerobius humulinus,Arthropoda,Insecta,Neuroptera,Hemerobiidae,Hemerobius,Hemerobius humulinus
Dicranomyia modesta,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia modesta
Eremocoris sp.,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Eremocoris,NA
Cryphia algae,Arthropoda,Insecta,Lepidoptera,Noctuidae,Cryphia,Cryphia algae
Phalangium opilio,Arthropoda,Arachnida,Opiliones,Phalangiidae,Phalangium,Phalangium opilio
Simulium erythrocephalum,Arthropoda,Insecta,Diptera,Simuliidae,Simulium,Simulium erythrocephalum
Tachyporus pusillus,Arthropoda,Insecta,Coleoptera,Staphylinidae,Tachyporus,Tachyporus pusillus
Orthocladius rubicundus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius rubicundus
Amara aenea,Arthropoda,Insecta,Coleoptera,Carabidae,Amara,Amara aenea
Harpalus sp.,Arthropoda,Insecta,Coleoptera,Carabidae,Harpalus,NA
Dikerogammarus villosus,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Dikerogammarus,Dikerogammarus villosus
Wiedemannia bistigma,Arthropoda,Insecta,Diptera,Empididae,Wiedemannia,Wiedemannia bistigma
Calliopum simillimum,Arthropoda,Insecta,Diptera,Lauxaniidae,Calliopum,Calliopum simillimum
Quedius nitipennis,Arthropoda,Insecta,Coleoptera,Staphylinidae,Quedius,Quedius nitipennis
Culicoides kibunensis,Arthropoda,Insecta,Diptera,Ceratopogonidae,Culicoides,Culicoides kibunensis
Hydra circumcincta,Cnidaria,Hydrozoa,Anthoathecata,Hydridae,Hydra,Hydra circumcincta
Contacyphon padi,Arthropoda,Insecta,Coleoptera,Scirtidae,Contacyphon,Contacyphon padi
Agriopis aurantiaria,Arthropoda,Insecta,Lepidoptera,Geometridae,Agriopis,Agriopis aurantiaria
Harnischia fuscimana,Arthropoda,Insecta,Diptera,Chironomidae,Harnischia,Harnischia fuscimana
Ceratophysella succinea,Arthropoda,Collembola,Poduromorpha,Hypogastruridae,Ceratophysella,Ceratophysella succinea
Protaphorura fimata,Arthropoda,Collembola,Poduromorpha,Onychiuridae,Protaphorura,Protaphorura fimata
Odontomyia pubescens,Arthropoda,Insecta,Diptera,Stratiomyidae,Odontomyia,Odontomyia pubescens
Fabaeformiscandona fabaeformis,Arthropoda,Ostracoda,Podocopida,Candonidae,Fabaeformiscandona,Fabaeformiscandona fabaeformis
Dicranomyia morio,Arthropoda,Insecta,Diptera,Limoniidae,Dicranomyia,Dicranomyia morio
Noterus clavicornis,Arthropoda,Insecta,Coleoptera,Noteridae,Noterus,Noterus clavicornis
Fannia sociella,Arthropoda,Insecta,Diptera,Fanniidae,Fannia,Fannia sociella
Ulomyia fuliginosa,Arthropoda,Insecta,Diptera,Psychodidae,Ulomyia,Ulomyia fuliginosa
Nilotanypus dubius,Arthropoda,Insecta,Diptera,Chironomidae,Nilotanypus,Nilotanypus dubius
Culiseta sp.,Arthropoda,Insecta,Diptera,Culicidae,Culiseta,NA
Pristina aequiseta,Annelida,Clitellata,Tubificida,Naididae,Pristina,Pristina aequiseta
Lasius sp.,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,NA
Isotomurus palustris,Arthropoda,Collembola,Entomobryomorpha,Isotomidae,Isotomurus,Isotomurus palustris
Scymnus frontalis,Arthropoda,Insecta,Coleoptera,Coccinellidae,Scymnus,Scymnus frontalis
Mocyta fungi,Arthropoda,Insecta,Coleoptera,Staphylinidae,Mocyta,Mocyta fungi
Dicranophragma separatum,Arthropoda,Insecta,Diptera,Limoniidae,Dicranophragma,Dicranophragma separatum
Prosimulium hirtipes,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,Prosimulium hirtipes
Pollenia griseotomentosa,Arthropoda,Insecta,Diptera,Polleniidae,Pollenia,Pollenia griseotomentosa
Triphleba autumnalis,Arthropoda,Insecta,Diptera,Phoridae,Triphleba,Triphleba autumnalis
Hydrosmittia oxoniana,Arthropoda,Insecta,Diptera,Chironomidae,Hydrosmittia,Hydrosmittia oxoniana
Arocatus sp.,Arthropoda,Insecta,Hemiptera,Lygaeidae,Arocatus,NA
Amphimallon solstitiale,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Amphimallon,Amphimallon solstitiale
Noctua comes,Arthropoda,Insecta,Lepidoptera,Noctuidae,Noctua,Noctua comes
Arion hortensis,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,Arion hortensis
Dromius quadrimaculatus,Arthropoda,Insecta,Coleoptera,Carabidae,Dromius,Dromius quadrimaculatus
Carychium tridentatum,Mollusca,Gastropoda,Ellobiida,Ellobiidae,Carychium,Carychium tridentatum
Chalarus juliae,Arthropoda,Insecta,Diptera,Pipunculidae,Chalarus,Chalarus juliae
Gaeolaelaps aculeifer,Arthropoda,Arachnida,Mesostigmata,Laelapidae,Gaeolaelaps,Gaeolaelaps aculeifer
Parachironomus gracilior,Arthropoda,Insecta,Diptera,Chironomidae,Parachironomus,Parachironomus gracilior
Drosophila suzukii,Arthropoda,Insecta,Diptera,Drosophilidae,Drosophila,Drosophila suzukii
Platypalpus longiseta,Arthropoda,Insecta,Diptera,Hybotidae,Platypalpus,Platypalpus longiseta
Fannia ornata,Arthropoda,Insecta,Diptera,Fanniidae,Fannia,Fannia ornata
Pullimosina pullula,Arthropoda,Insecta,Diptera,Sphaeroceridae,Pullimosina,Pullimosina pullula
Valenzuela piceus,Arthropoda,Insecta,Psocoptera,Caeciliusidae,Valenzuela,Valenzuela piceus
Sorhoanus sp.,Arthropoda,Insecta,Hemiptera,Cicadellidae,Sorhoanus,NA
Cimberis attelaboides,Arthropoda,Insecta,Coleoptera,Nemonychidae,Cimberis,Cimberis attelaboides
Chordeuma sylvestre,Arthropoda,Diplopoda,Chordeumatida,Chordeumatidae,Chordeuma,Chordeuma sylvestre
Peripsocus subfasciatus,Arthropoda,Insecta,Psocoptera,Peripsocidae,Peripsocus,Peripsocus subfasciatus
Lasius flavus,Arthropoda,Insecta,Hymenoptera,Formicidae,Lasius,Lasius flavus
Hydaticus seminiger,Arthropoda,Insecta,Coleoptera,Dytiscidae,Hydaticus,Hydaticus seminiger
Campsicnemus sp.,Arthropoda,Insecta,Diptera,Dolichopodidae,Campsicnemus,NA
Celypha rivulana,Arthropoda,Insecta,Lepidoptera,Tortricidae,Celypha,Celypha rivulana
Bembidion sp.,Arthropoda,Insecta,Coleoptera,Carabidae,Bembidion,NA
Platycheirus sp.,Arthropoda,Insecta,Diptera,Syrphidae,Platycheirus,NA
Euura humeralis,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Euura,Euura humeralis
Thaumatomyia notata,Arthropoda,Insecta,Diptera,Chloropidae,Thaumatomyia,Thaumatomyia notata
Tvetenia verralli,Arthropoda,Insecta,Diptera,Chironomidae,Tvetenia,Tvetenia verralli
Prosimulium sp.,Arthropoda,Insecta,Diptera,Simuliidae,Prosimulium,NA
unclassified_Culicidae sp.,Arthropoda,Insecta,Diptera,Culicidae,unclassified_Culicidae,NA
Themira annulipes,Arthropoda,Insecta,Diptera,Sepsidae,Themira,Themira annulipes
Longitarsus lycopi,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Longitarsus,Longitarsus lycopi
Helophilus pendulus,Arthropoda,Insecta,Diptera,Syrphidae,Helophilus,Helophilus pendulus
Epinotia sp.,Arthropoda,Insecta,Lepidoptera,Tortricidae,Epinotia,NA
Atheta inquinula,Arthropoda,Insecta,Coleoptera,Staphylinidae,Atheta,Atheta inquinula
Phytomyza ranunculi,Arthropoda,Insecta,Diptera,Agromyzidae,Phytomyza,Phytomyza ranunculi
Paracyclops sp.,Arthropoda,Hexanauplia,Cyclopoida,Cyclopidae,Paracyclops,NA
Lonchaea tarsata,Arthropoda,Insecta,Diptera,Lonchaeidae,Lonchaea,Lonchaea tarsata
Caenis macrura,Arthropoda,Insecta,Ephemeroptera,Caenidae,Caenis,Caenis macrura
Deraeocoris lutescens,Arthropoda,Insecta,Hemiptera,Miridae,Deraeocoris,Deraeocoris lutescens
Anotylus insecatus,Arthropoda,Insecta,Coleoptera,Staphylinidae,Anotylus,Anotylus insecatus
Corynoptera tetrachaeta,Arthropoda,Insecta,Diptera,Sciaridae,Corynoptera,Corynoptera tetrachaeta
Psammoryctides albicola,Annelida,Clitellata,Tubificida,Naididae,Psammoryctides,Psammoryctides albicola
Micropsectra lindrothi,Arthropoda,Insecta,Diptera,Chironomidae,Micropsectra,Micropsectra lindrothi
Bezzia fuliginata,Arthropoda,Insecta,Diptera,Ceratopogonidae,Bezzia,Bezzia fuliginata
Anaspis frontalis,Arthropoda,Insecta,Coleoptera,Scraptiidae,Anaspis,Anaspis frontalis
Notiphila riparia,Arthropoda,Insecta,Diptera,Ephydridae,Notiphila,Notiphila riparia
Agelastica alni,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Agelastica,Agelastica alni
Lesteva longoelytrata,Arthropoda,Insecta,Coleoptera,Staphylinidae,Lesteva,Lesteva longoelytrata
Microtendipes sp.,Arthropoda,Insecta,Diptera,Chironomidae,Microtendipes,NA
Bryocamptus minutus,Arthropoda,Hexanauplia,Harpacticoida,Canthocamptidae,Bryocamptus,Bryocamptus minutus
Hemerobius micans,Arthropoda,Insecta,Neuroptera,Hemerobiidae,Hemerobius,Hemerobius micans
Nephrotoma flavipalpis,Arthropoda,Insecta,Diptera,Tipulidae,Nephrotoma,Nephrotoma flavipalpis
Dytiscus marginalis,Arthropoda,Insecta,Coleoptera,Dytiscidae,Dytiscus,Dytiscus marginalis
Ptychoptera contaminata,Arthropoda,Insecta,Diptera,Ptychopteridae,Ptychoptera,Ptychoptera contaminata
Procladius nigriventris,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,Procladius nigriventris
Beris chalybata,Arthropoda,Insecta,Diptera,Stratiomyidae,Beris,Beris chalybata
Glyptotendipes cauliginellus,Arthropoda,Insecta,Diptera,Chironomidae,Glyptotendipes,Glyptotendipes cauliginellus
Cricotopus intersectus,Arthropoda,Insecta,Diptera,Chironomidae,Cricotopus,Cricotopus intersectus
Dasyhelea europaea,Arthropoda,Insecta,Diptera,Ceratopogonidae,Dasyhelea,Dasyhelea europaea
Orthocladius frigidus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladius,Orthocladius frigidus
Hybomitra sp.,Arthropoda,Insecta,Diptera,Tabanidae,Hybomitra,NA
Darwinula stevensoni,Arthropoda,Ostracoda,Podocopida,Darwinulidae,Darwinula,Darwinula stevensoni
Polydrusus pallidus,Arthropoda,Insecta,Coleoptera,Curculionidae,Polydrusus,Polydrusus pallidus
Polydrusus sp.,Arthropoda,Insecta,Coleoptera,Curculionidae,Polydrusus,NA
Procladius crassinervis,Arthropoda,Insecta,Diptera,Chironomidae,Procladius,Procladius crassinervis
Hebecnema vespertina,Arthropoda,Insecta,Diptera,Muscidae,Hebecnema,Hebecnema vespertina
Stenostola dubia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Stenostola,Stenostola dubia
