Interaction,Source_Name,Target_Name,Source_Rank,Target_Rank,ID,Source_Life_Stage,Target_Life_Stage
Formicidae Cicadellidae,Formicidae,Cicadellidae,Family,Family,1,Young,Young
Formicidae Clubionidae,Formicidae,Clubionidae,Family,Family,1,Young,Young
Formicidae Coccinellidae,Formicidae,Coccinellidae,Family,Family,1,,
Formicidae Collembola,Formicidae,Collembola,Family,Feeding guild,17; 65; 87,Adult,Young and Adult
Formicidae Dytiscidae,Formicidae,Dytiscidae,Family,Family,1,,
Formicidae Erebidae,Formicidae,Erebidae,Family,Family,2,,
Formicidae Fanniidae,Formicidae,Fanniidae,Family,Family,68,Adult,Young and Adult
Formicidae Formicidae,Formicidae,Formicidae,Family,Family,1; 2,Young,Egg and Young
Formicidae Geometridae,Formicidae,Geometridae,Family,Family,1,,
Formicidae Hemerobiidae,Formicidae,Hemerobiidae,Family,Family,69,Adult,Egg and Young
Formicidae Lycosidae,Formicidae,Lycosidae,Family,Family,1,Young,Young
Formicidae Muscidae,Formicidae,Muscidae,Family,Family,1,,
Formicidae Nitidulidae,Formicidae,Nitidulidae,Family,Family,1,,
Formicidae Noctuidae,Formicidae,Noctuidae,Family,Family,2,,
Formicidae Peripsocidae,Formicidae,Peripsocidae,Family,Family,89,Adult,Young
Formicidae Plants,Formicidae,Plants,Family,Feeding guild,2,,
Formicidae Psychodidae,Formicidae,Psychodidae,Family,Family,1,Young and Adult,Young and Adult
Formicidae Sepsidae,Formicidae,Sepsidae,Family,Family,94,Adult,Young
Formicidae Staphylinidae,Formicidae,Staphylinidae,Family,Family,1,Young,Young
Formicidae Tephritidae,Formicidae,Tephritidae,Family,Family,2,,
Gammaridae Algae,Gammaridae,Algae,Family,Feeding guild,2,,
Gammaridae Aquatic detritus,Gammaridae,Aquatic detritus,Family,Feeding guild,2,Young,
Gammaridae Baetidae,Gammaridae,Baetidae,Family,Family,1; 2,Young,Young
Gammaridae Caenidae,Gammaridae,Caenidae,Family,Family,2,Young,Young
Gammaridae Capniidae,Gammaridae,Capniidae,Family,Family,2,Young,Young
Gammaridae Chironomidae,Gammaridae,Chironomidae,Family,Family,1; 2,Young,Young
Gammaridae Chrysomelidae,Gammaridae,Chrysomelidae,Family,Family,2,Young,Young
Gammaridae Culicidae,Gammaridae,Culicidae,Family,Family,2,Young,Young
Gammaridae Curculionidae,Gammaridae,Curculionidae,Family,Family,2,Young,Young
Gammaridae Dixidae,Gammaridae,Dixidae,Family,Family,2,Young,Young
Gammaridae Dryopidae,Gammaridae,Dryopidae,Family,Family,2,Young,Young
Gammaridae Elmidae,Gammaridae,Elmidae,Family,Family,2,Young,Young
Gammaridae Ephemeridae,Gammaridae,Ephemeridae,Family,Family,2,Young,Young
Gammaridae Ephydridae,Gammaridae,Ephydridae,Family,Family,2,Young,Young
Gammaridae Fungi,Gammaridae,Fungi,Family,Feeding guild,2,,
Gammaridae Gammaridae,Gammaridae,Gammaridae,Family,Family,1; 2,Young,Young
Gammaridae Haliplidae,Gammaridae,Haliplidae,Family,Family,2,Young,Young
Gammaridae Heptageniidae,Gammaridae,Heptageniidae,Family,Family,2,Young,Young
Gammaridae Hydrophilidae,Gammaridae,Hydrophilidae,Family,Family,2,Young,Young
Gammaridae Lepidostomatidae,Gammaridae,Lepidostomatidae,Family,Family,2,Young,Young
Gammaridae Leuctridae,Gammaridae,Leuctridae,Family,Family,1; 2,Young,Young
Gammaridae Limnephilidae,Gammaridae,Limnephilidae,Family,Family,2,Young,Young
Gammaridae Limoniidae,Gammaridae,Limoniidae,Family,Family,2,Young,Young
Gammaridae Lymnaeidae,Gammaridae,Lymnaeidae,Family,Family,2,Young,Young
Gammaridae Microbes,Gammaridae,Microbes,Family,Feeding guild,2,,
Gammaridae Nemouridae,Gammaridae,Nemouridae,Family,Family,2,Young,Young
Gammaridae Philopotamidae,Gammaridae,Philopotamidae,Family,Family,2,Young,Young
Gammaridae Physidae,Gammaridae,Physidae,Family,Family,2,Young,Young
Gammaridae Plants,Gammaridae,Plants,Family,Feeding guild,2,Young,Young
Gammaridae Psychodidae,Gammaridae,Psychodidae,Family,Family,2,Young,Young
Gammaridae Ptychopteridae,Gammaridae,Ptychopteridae,Family,Family,2,Young,Young
Gammaridae Scavenger,Gammaridae,Scavenger,Family,Feeding guild,2,,
Gammaridae Scirtidae,Gammaridae,Scirtidae,Family,Family,2,Young,Young
Gammaridae Simuliidae,Gammaridae,Simuliidae,Family,Family,1; 2,Young,Young
Gammaridae Stratiomyidae,Gammaridae,Stratiomyidae,Family,Family,2,Young,Young
Gammaridae Syrphidae,Gammaridae,Syrphidae,Family,Family,2,Young,Young
Gammaridae Tipulidae,Gammaridae,Tipulidae,Family,Family,2,Young,Young
Geometridae Agromyzidae,Geometridae,Agromyzidae,Family,Family,1,,
Geometridae Plants,Geometridae,Plants,Family,Feeding guild,2,Young and Adult,
Geometridae Tenthredinidae,Geometridae,Tenthredinidae,Family,Family,1,,
Geophilidae Annelida,Geophilidae,Annelida,Family,Feeding guild,2,,
Geophilidae Cantharidae,Geophilidae,Cantharidae,Family,Family,1,Young and Adult,Young and Adult
Geophilidae Carabidae,Geophilidae,Carabidae,Family,Family,1,Young and Adult,Young and Adult
Geophilidae Chordeumatidae,Geophilidae,Chordeumatidae,Family,Family,1,Young and Adult,Young and Adult
Geophilidae Chrysomelidae,Geophilidae,Chrysomelidae,Family,Family,1,Adult,Adult
Geophilidae Clubionidae,Geophilidae,Clubionidae,Family,Family,1,Young and Adult,Young and Adult
Geophilidae Coccinellidae,Geophilidae,Coccinellidae,Family,Family,1,Adult,Adult
Geophilidae Curculionidae,Geophilidae,Curculionidae,Family,Family,1,Young and Adult,Young and Adult
Geophilidae Dytiscidae,Geophilidae,Dytiscidae,Family,Family,1,Young,Young
Geophilidae Elateridae,Geophilidae,Elateridae,Family,Family,1,Young and Adult,Young and Adult
Geophilidae Geophilidae,Geophilidae,Geophilidae,Family,Family,1,Young and Adult,Young and Adult
Geophilidae Isopoda,Geophilidae,Isopoda,Family,Feeding guild,91,Young and Adult,Adult
Geophilidae Lampyridae,Geophilidae,Lampyridae,Family,Family,1,Young,Young
Geophilidae Lycosidae,Geophilidae,Lycosidae,Family,Family,1,Young and Adult,Young and Adult
Geophilidae Nitidulidae,Geophilidae,Nitidulidae,Family,Family,1,Adult,Adult
Geophilidae Phalangiidae,Geophilidae,Phalangiidae,Family,Family,90,Adult,Young and Adult
Geophilidae Plants,Geophilidae,Plants,Family,Feeding guild,2,,
Geophilidae Scutigerellidae,Geophilidae,Scutigerellidae,Family,Family,93,Young and Adult,Adult
Geophilidae Staphylinidae,Geophilidae,Staphylinidae,Family,Family,1,Young and Adult,Young and Adult
Gerridae Annelida,Gerridae,Annelida,Family,Feeding guild,2,Young,Young
Gerridae Baetidae,Gerridae,Baetidae,Family,Family,1; 2,Young,Young
Gerridae Caenidae,Gerridae,Caenidae,Family,Family,1; 2,Young,Young
Gerridae Capniidae,Gerridae,Capniidae,Family,Family,2,Young,Young
Gerridae Ceratopogonidae,Gerridae,Ceratopogonidae,Family,Family,1,Young,Young
Gerridae Chironomidae,Gerridae,Chironomidae,Family,Family,1; 2,Young,Young
Gerridae Chrysomelidae,Gerridae,Chrysomelidae,Family,Family,2,Young,Young
Gerridae Coenagrionidae,Gerridae,Coenagrionidae,Family,Family,1,Young,Young
Gerridae Culicidae,Gerridae,Culicidae,Family,Family,2,Young,Young
Gerridae Curculionidae,Gerridae,Curculionidae,Family,Family,2,Young,Young
Gerridae Dixidae,Gerridae,Dixidae,Family,Family,2,Young,Young
Gerridae Dryopidae,Gerridae,Dryopidae,Family,Family,2,Young,Young
Gerridae Elmidae,Gerridae,Elmidae,Family,Family,2,Young,Young
Gerridae Ephemeridae,Gerridae,Ephemeridae,Family,Family,2,Young,Young
Gerridae Ephydridae,Gerridae,Ephydridae,Family,Family,1; 2,Young,Young
Gerridae Fungi,Gerridae,Fungi,Family,Feeding guild,2,,
Gerridae Gammaridae,Gerridae,Gammaridae,Family,Family,2,Young,Young
Gerridae Gerridae,Gerridae,Gerridae,Family,Family,1,Young and Adult,Young and Adult
Gerridae Haliplidae,Gerridae,Haliplidae,Family,Family,2,Young,Young
Gerridae Heptageniidae,Gerridae,Heptageniidae,Family,Family,2,Young,Young
Gerridae Hydrophilidae,Gerridae,Hydrophilidae,Family,Family,2,Young,Young
Gerridae Lepidostomatidae,Gerridae,Lepidostomatidae,Family,Family,2,Young,Young
Gerridae Leuctridae,Gerridae,Leuctridae,Family,Family,2,Young,Young
Gerridae Libellulidae,Gerridae,Libellulidae,Family,Family,1,,
Gerridae Limnephilidae,Gerridae,Limnephilidae,Family,Family,2,Young,Young
Gerridae Limoniidae,Gerridae,Limoniidae,Family,Family,2,Young,Young
Gerridae Lycosidae,Gerridae,Lycosidae,Family,Family,1,Young,Young
Gerridae Lymnaeidae,Gerridae,Lymnaeidae,Family,Family,1; 2,Young,Young
Gerridae Nemouridae,Gerridae,Nemouridae,Family,Family,2,Young,Young
Gerridae Notonectidae,Gerridae,Notonectidae,Family,Family,1,,
Gerridae Philopotamidae,Gerridae,Philopotamidae,Family,Family,2,Young,Young
Gerridae Physidae,Gerridae,Physidae,Family,Family,2,Young,Young
Gerridae Plankton,Gerridae,Plankton,Family,Feeding guild,2,Young,
Gerridae Psychodidae,Gerridae,Psychodidae,Family,Family,2,Young,Young
Gerridae Ptychopteridae,Gerridae,Ptychopteridae,Family,Family,2,Young,Young
Gerridae Scavenger,Gerridae,Scavenger,Family,Feeding guild,2,,
Gerridae Scirtidae,Gerridae,Scirtidae,Family,Family,2,Young,Young
Gerridae Simuliidae,Gerridae,Simuliidae,Family,Family,2,Young,Young
Gerridae Stratiomyidae,Gerridae,Stratiomyidae,Family,Family,2,Young,Young
Gerridae Syrphidae,Gerridae,Syrphidae,Family,Family,2,Young,Young
Gerridae Tipulidae,Gerridae,Tipulidae,Family,Family,2,Young,Young
Haliplidae Algae,Haliplidae,Algae,Family,Feeding guild,2,,
Haliplidae Cecidomyiidae,Haliplidae,Cecidomyiidae,Family,Family,2,,Egg
Haliplidae Ceratopogonidae,Haliplidae,Ceratopogonidae,Family,Family,2,,Egg
Haliplidae Chaoboridae,Haliplidae,Chaoboridae,Family,Family,2,,Egg
Haliplidae Chironomidae,Haliplidae,Chironomidae,Family,Family,2,,Egg
Haliplidae Culicidae,Haliplidae,Culicidae,Family,Family,2,,Egg
Haliplidae Dixidae,Haliplidae,Dixidae,Family,Family,2,,Egg
Haliplidae Limoniidae,Haliplidae,Limoniidae,Family,Family,2,,Egg
Haliplidae Pediciidae,Haliplidae,Pediciidae,Family,Family,2,,Egg
Haliplidae Plankton,Haliplidae,Plankton,Family,Feeding guild,2,Young,
Haliplidae Plants,Haliplidae,Plants,Family,Feeding guild,2,Young,Young
Haliplidae Psychodidae,Haliplidae,Psychodidae,Family,Family,2,,Egg
Haliplidae Ptychopteridae,Haliplidae,Ptychopteridae,Family,Family,2,,Egg
Haliplidae Sciaridae,Haliplidae,Sciaridae,Family,Family,2,,Egg
Haliplidae Simuliidae,Haliplidae,Simuliidae,Family,Family,2,,Egg
Haliplidae Tipulidae,Haliplidae,Tipulidae,Family,Family,2,,Egg
Haliplidae Trichoceridae,Haliplidae,Trichoceridae,Family,Family,2,,Egg
Heleomyzidae Fungi,Heleomyzidae,Fungi,Family,Feeding guild,2,Young,
Heleomyzidae Plants,Heleomyzidae,Plants,Family,Feeding guild,2,,
Heleomyzidae Terrestrial detritus,Heleomyzidae,Terrestrial detritus,Family,Feeding guild,2,,
Hemerobiidae Baetidae,Hemerobiidae,Baetidae,Family,Family,1,,
Hemerobiidae Elipsocidae,Hemerobiidae,Elipsocidae,Family,Family,63,Young,Egg
Hemerobiidae Leuctridae,Hemerobiidae,Leuctridae,Family,Family,1,,
Hemerobiidae Nemouridae,Hemerobiidae,Nemouridae,Family,Family,1,,
Hemerobiidae Peripsocidae,Hemerobiidae,Peripsocidae,Family,Family,89,Adult,Young
Hemerobiidae Philopotamidae,Hemerobiidae,Philopotamidae,Family,Family,1,,
Hemerobiidae Plants,Hemerobiidae,Plants,Family,Feeding guild,2,,
Hepialidae Plants,Hepialidae,Plants,Family,Feeding guild,2,Young,
Hepialidae Terrestrial detritus,Hepialidae,Terrestrial detritus,Family,Feeding guild,2,,
Heptageniidae Plankton,Heptageniidae,Plankton,Family,Feeding guild,2,Young,
Heptageniidae Plants,Heptageniidae,Plants,Family,Feeding guild,2,Young,Young
Hybotidae Cecidomyiidae,Hybotidae,Cecidomyiidae,Family,Family,1,,
Hydridae Cyclopidae,Hydridae,Cyclopidae,Family,Family,20,Adult,
Hydridae Daphniidae,Hydridae,Daphniidae,Family,Family,20,Adult,
Hydrodromidae Chironomidae,Hydrodromidae,Chironomidae,Family,Family,21,Young,Egg
Hydrophilidae Aquatic detritus,Hydrophilidae,Aquatic detritus,Family,Feeding guild,2,Young,
Hydrophilidae Plankton,Hydrophilidae,Plankton,Family,Feeding guild,2,Young,
Hydrophilidae Plants,Hydrophilidae,Plants,Family,Feeding guild,2,Young,Young
Hydrophilidae Scavenger,Hydrophilidae,Scavenger,Family,Feeding guild,2,,
Hydrophilidae Sepsidae,Hydrophilidae,Sepsidae,Family,Family,94,Young and Adult,Young
Isopoda Aquatic detritus,Isopoda,Aquatic detritus,Feeding guild,Feeding guild,47,Young and Adult,
Isopoda Terrestrial detritus,Isopoda,Terrestrial detritus,Feeding guild,Feeding guild,40; 46; 47,Young and Adult,
Laelapidae Collembola,Laelapidae,Collembola,Family,Feeding guild,58,,
Lauxaniidae Plants,Lauxaniidae,Plants,Family,Feeding guild,2,,
Lauxaniidae Terrestrial detritus,Lauxaniidae,Terrestrial detritus,Family,Feeding guild,2,Young,
Lepidostomatidae Plants,Lepidostomatidae,Plants,Family,Feeding guild,2,Young,
Lepidostomatidae Scavenger,Lepidostomatidae,Scavenger,Family,Feeding guild,2,,
Lepidostomatidae Terrestrial detritus,Lepidostomatidae,Terrestrial detritus,Family,Feeding guild,2,,
Leuctridae Algae,Leuctridae,Algae,Family,Feeding guild,2,,
Leuctridae Aquatic detritus,Leuctridae,Aquatic detritus,Family,Feeding guild,2,,
Leuctridae Plants,Leuctridae,Plants,Family,Feeding guild,2,Young,
Libellulidae Agromyzidae,Libellulidae,Agromyzidae,Family,Family,1,,
Libellulidae Baetidae,Libellulidae,Baetidae,Family,Family,1,,
Libellulidae Caenidae,Libellulidae,Caenidae,Family,Family,1,,
Libellulidae Calliphoridae,Libellulidae,Calliphoridae,Family,Family,1; 2,Adult,
Libellulidae Cantharidae,Libellulidae,Cantharidae,Family,Family,1,,
Libellulidae Cecidomyiidae,Libellulidae,Cecidomyiidae,Family,Family,1,,
Libellulidae Ceratopogonidae,Libellulidae,Ceratopogonidae,Family,Family,1,,
Libellulidae Chironomidae,Libellulidae,Chironomidae,Family,Family,1; 2,Young and Adult,Young
Libellulidae Chloropidae,Libellulidae,Chloropidae,Family,Family,1,,
Libellulidae Chrysomelidae,Libellulidae,Chrysomelidae,Family,Family,1; 2,Adult,
Libellulidae Cicadellidae,Libellulidae,Cicadellidae,Family,Family,1,,
Libellulidae Coccinellidae,Libellulidae,Coccinellidae,Family,Family,1,,
Libellulidae Coenagrionidae,Libellulidae,Coenagrionidae,Family,Family,1,Young,Young
Libellulidae Curculionidae,Libellulidae,Curculionidae,Family,Family,1,,
Libellulidae Dolichopodidae,Libellulidae,Dolichopodidae,Family,Family,1,,
Libellulidae Drosophilidae,Libellulidae,Drosophilidae,Family,Family,1,,
Libellulidae Dytiscidae,Libellulidae,Dytiscidae,Family,Family,1,Young and Adult,Young and Adult
Libellulidae Elateridae,Libellulidae,Elateridae,Family,Family,1,Young,Young
Libellulidae Empididae,Libellulidae,Empididae,Family,Family,1,,
Libellulidae Ephydridae,Libellulidae,Ephydridae,Family,Family,1,,
Libellulidae Formicidae,Libellulidae,Formicidae,Family,Family,2,Adult,
Libellulidae Geometridae,Libellulidae,Geometridae,Family,Family,2,Adult,
Libellulidae Haliplidae,Libellulidae,Haliplidae,Family,Family,1,,
Libellulidae Hybotidae,Libellulidae,Hybotidae,Family,Family,1,,
Libellulidae Libellulidae,Libellulidae,Libellulidae,Family,Family,1,,
Libellulidae Limnephilidae,Libellulidae,Limnephilidae,Family,Family,1,,
Libellulidae Limoniidae,Libellulidae,Limoniidae,Family,Family,1,,
Libellulidae Lymnaeidae,Libellulidae,Lymnaeidae,Family,Family,1,,
Libellulidae Muscidae,Libellulidae,Muscidae,Family,Family,1,,
Libellulidae Nitidulidae,Libellulidae,Nitidulidae,Family,Family,1,,
Libellulidae Noctuidae,Libellulidae,Noctuidae,Family,Family,1,,
Libellulidae Notonectidae,Libellulidae,Notonectidae,Family,Family,1,Young and Adult,Young and Adult
Libellulidae Phoridae,Libellulidae,Phoridae,Family,Family,1,,
Libellulidae Plants,Libellulidae,Plants,Family,Feeding guild,2,,
Libellulidae Psychodidae,Libellulidae,Psychodidae,Family,Family,1; 2,Adult,Adult
Libellulidae Sarcophagidae,Libellulidae,Sarcophagidae,Family,Family,1,,
Libellulidae Sciaridae,Libellulidae,Sciaridae,Family,Family,1; 2,Adult,
Libellulidae Sciomyzidae,Libellulidae,Sciomyzidae,Family,Family,1,,
Libellulidae Sialidae,Libellulidae,Sialidae,Family,Family,1,Young,Young
Libellulidae Syrphidae,Libellulidae,Syrphidae,Family,Family,1,,
Libellulidae Tipulidae,Libellulidae,Tipulidae,Family,Family,1,,
Limnephilidae Algae,Limnephilidae,Algae,Family,Feeding guild,2,,
Limnephilidae Aquatic detritus,Limnephilidae,Aquatic detritus,Family,Feeding guild,2,Young,
Limnephilidae Baetidae,Limnephilidae,Baetidae,Family,Family,1; 2,Young,Young
Limnephilidae Caenidae,Limnephilidae,Caenidae,Family,Family,2,Young,Young
Limnephilidae Capniidae,Limnephilidae,Capniidae,Family,Family,2,Young,Young
Limnephilidae Chironomidae,Limnephilidae,Chironomidae,Family,Family,1; 2,Young,Young
Limnephilidae Chrysomelidae,Limnephilidae,Chrysomelidae,Family,Family,2,Young,Young
Limnephilidae Culicidae,Limnephilidae,Culicidae,Family,Family,2,Young,Young
Limnephilidae Curculionidae,Limnephilidae,Curculionidae,Family,Family,2,Young,Young
Limnephilidae Dixidae,Limnephilidae,Dixidae,Family,Family,2,Young,Young
Limnephilidae Dryopidae,Limnephilidae,Dryopidae,Family,Family,2,Young,Young
Limnephilidae Dytiscidae,Limnephilidae,Dytiscidae,Family,Family,1,,
Limnephilidae Elmidae,Limnephilidae,Elmidae,Family,Family,2,Young,Young
Limnephilidae Ephemeridae,Limnephilidae,Ephemeridae,Family,Family,2,Young,Young
Limnephilidae Ephydridae,Limnephilidae,Ephydridae,Family,Family,2,Young,Young
Limnephilidae Gammaridae,Limnephilidae,Gammaridae,Family,Family,2,Young,Young
Limnephilidae Haliplidae,Limnephilidae,Haliplidae,Family,Family,2,Young,Young
Limnephilidae Heptageniidae,Limnephilidae,Heptageniidae,Family,Family,2,Young,Young
Limnephilidae Hydrophilidae,Limnephilidae,Hydrophilidae,Family,Family,2,Young,Young
Limnephilidae Lepidostomatidae,Limnephilidae,Lepidostomatidae,Family,Family,2,Young,Young
Limnephilidae Leuctridae,Limnephilidae,Leuctridae,Family,Family,2,Young,Young
Limnephilidae Limnephilidae,Limnephilidae,Limnephilidae,Family,Family,1; 2,Young,Young
Limnephilidae Limoniidae,Limnephilidae,Limoniidae,Family,Family,2,Young,Young
Limnephilidae Lymnaeidae,Limnephilidae,Lymnaeidae,Family,Family,2,Young,Young
Limnephilidae Nemouridae,Limnephilidae,Nemouridae,Family,Family,2,Young,Young
Limnephilidae Philopotamidae,Limnephilidae,Philopotamidae,Family,Family,2,Young,Young
Limnephilidae Physidae,Limnephilidae,Physidae,Family,Family,2,Young,Young
Limnephilidae Plants,Limnephilidae,Plants,Family,Feeding guild,2,Young,Young
Limnephilidae Psychodidae,Limnephilidae,Psychodidae,Family,Family,2,Young,Young
Limnephilidae Ptychopteridae,Limnephilidae,Ptychopteridae,Family,Family,2,Young,Young
Limnephilidae Scavenger,Limnephilidae,Scavenger,Family,Feeding guild,2,,
Limnephilidae Scirtidae,Limnephilidae,Scirtidae,Family,Family,2,Young,Young
Limnephilidae Simuliidae,Limnephilidae,Simuliidae,Family,Family,2,Young,Young
Limnephilidae Stratiomyidae,Limnephilidae,Stratiomyidae,Family,Family,2,Young,Young
Limnephilidae Syrphidae,Limnephilidae,Syrphidae,Family,Family,2,Young,Young
Limnephilidae Tipulidae,Limnephilidae,Tipulidae,Family,Family,2,Young,Young
Limnesiidae Plants,Limnesiidae,Plants,Family,Feeding guild,25,Young and Adult,
Limoniidae Aquatic detritus,Limoniidae,Aquatic detritus,Family,Feeding guild,2,Young,
Limoniidae Chironomidae,Limoniidae,Chironomidae,Family,Family,1,Young,Young
Limoniidae Heptageniidae,Limoniidae,Heptageniidae,Family,Family,1,,
Limoniidae Leuctridae,Limoniidae,Leuctridae,Family,Family,1,,
Limoniidae Limoniidae,Limoniidae,Limoniidae,Family,Family,1,,
Limoniidae Philopotamidae,Limoniidae,Philopotamidae,Family,Family,1,,
Limoniidae Plankton,Limoniidae,Plankton,Family,Feeding guild,2,Young,
Limoniidae Plants,Limoniidae,Plants,Family,Feeding guild,2,Young,Young
Lithobiidae Annelida,Lithobiidae,Annelida,Family,Feeding guild,80,Young and Adult,Young and Adult
Lithobiidae Collembola,Lithobiidae,Collembola,Family,Feeding guild,73; 74; 84,Adult,Young and Adult
Lithobiidae Terrestrial detritus,Lithobiidae,Terrestrial detritus,Family,Feeding guild,26,Young and Adult,
Lonchaeidae Plants,Lonchaeidae,Plants,Family,Feeding guild,2,,
Lonchopteridae Algae,Lonchopteridae,Algae,Family,Feeding guild,2,,
Lonchopteridae Coprophagous,Lonchopteridae,Coprophagous,Family,Feeding guild,2,,
Lonchopteridae Fungi,Lonchopteridae,Fungi,Family,Feeding guild,2,,
Lonchopteridae Plants,Lonchopteridae,Plants,Family,Feeding guild,2,Adult,
Lycosidae Agromyzidae,Lycosidae,Agromyzidae,Family,Family,75,Adult,
Lycosidae Annelida,Lycosidae,Annelida,Family,Feeding guild,75,Adult,
Lycosidae Anthomyiidae,Lycosidae,Anthomyiidae,Family,Family,1; 75; 96,Adult,Adult
Lycosidae Cantharidae,Lycosidae,Cantharidae,Family,Family,1,Young and Adult,Young and Adult
Lycosidae Carabidae,Lycosidae,Carabidae,Family,Family,1; 2,Young and Adult,Young and Adult
Lycosidae Cecidomyiidae,Lycosidae,Cecidomyiidae,Family,Family,1; 75,Adult,
Lycosidae Ceratopogonidae,Lycosidae,Ceratopogonidae,Family,Family,75,Adult,
Lycosidae Chironomidae,Lycosidae,Chironomidae,Family,Family,1; 96,Young and Adult,Young and Adult
Lycosidae Chrysomelidae,Lycosidae,Chrysomelidae,Family,Family,1,Young and Adult,Young and Adult
Lycosidae Cicadellidae,Lycosidae,Cicadellidae,Family,Family,1,Young,Young
Lycosidae Clubionidae,Lycosidae,Clubionidae,Family,Family,1,Young,Young
Lycosidae Coccinellidae,Lycosidae,Coccinellidae,Family,Family,1; 2,Adult,Adult
Lycosidae Collembola,Lycosidae,Collembola,Family,Feeding guild,2; 75,Adult,Adult
Lycosidae Curculionidae,Lycosidae,Curculionidae,Family,Family,1,Adult,Adult
Lycosidae Dolichopodidae,Lycosidae,Dolichopodidae,Family,Family,1; 96,Adult,Adult
Lycosidae Dytiscidae,Lycosidae,Dytiscidae,Family,Family,1,,
Lycosidae Ectobiidae,Lycosidae,Ectobiidae,Family,Family,60,Young and Adult,
Lycosidae Elateridae,Lycosidae,Elateridae,Family,Family,1; 2,Young and Adult,Young and Adult
Lycosidae Empididae,Lycosidae,Empididae,Family,Family,75,Adult,
Lycosidae Ephydridae,Lycosidae,Ephydridae,Family,Family,1; 96,Young and Adult,Adult
Lycosidae Erebidae,Lycosidae,Erebidae,Family,Family,75,Adult,
Lycosidae Fanniidae,Lycosidae,Fanniidae,Family,Family,75,Adult,
Lycosidae Formicidae,Lycosidae,Formicidae,Family,Family,1,,
Lycosidae Geometridae,Lycosidae,Geometridae,Family,Family,75,Adult,
Lycosidae Geophilidae,Lycosidae,Geophilidae,Family,Family,1,Adult,Adult
Lycosidae Isopoda,Lycosidae,Isopoda,Family,Feeding guild,101,Young and Adult,Young and Adult
Lycosidae Limoniidae,Lycosidae,Limoniidae,Family,Family,75,Adult,
Lycosidae Lycosidae,Lycosidae,Lycosidae,Family,Family,1,Young and Adult,Young and Adult
Lycosidae Lygaeidae,Lycosidae,Lygaeidae,Family,Family,1; 75,Adult,
Lycosidae Lymnaeidae,Lycosidae,Lymnaeidae,Family,Family,1,,
Lycosidae Miridae,Lycosidae,Miridae,Family,Family,1,,
Lycosidae Muscidae,Lycosidae,Muscidae,Family,Family,1; 75,Adult,
Lycosidae Nitidulidae,Lycosidae,Nitidulidae,Family,Family,1,Adult,Adult
Lycosidae Noctuidae,Lycosidae,Noctuidae,Family,Family,1; 75,Adult,
Lycosidae Phoridae,Lycosidae,Phoridae,Family,Family,75,Adult,
Lycosidae Psychodidae,Lycosidae,Psychodidae,Family,Family,1,Young and Adult,Young and Adult
Lycosidae Pyralidae,Lycosidae,Pyralidae,Family,Family,1,,
Lycosidae Rhyparochromidae,Lycosidae,Rhyparochromidae,Family,Family,1,,
Lycosidae Scarabaeidae,Lycosidae,Scarabaeidae,Family,Family,1,,
Lycosidae Sphaeroceridae,Lycosidae,Sphaeroceridae,Family,Family,96,Young,Adult
Lycosidae Staphylinidae,Lycosidae,Staphylinidae,Family,Family,1,Young and Adult,Young and Adult
Lycosidae Syrphidae,Lycosidae,Syrphidae,Family,Family,1; 2,Adult,Adult
Lycosidae Tenthredinidae,Lycosidae,Tenthredinidae,Family,Family,75,Adult,
Lycosidae Tipulidae,Lycosidae,Tipulidae,Family,Family,2,Adult,Adult
Lycosidae Tortricidae,Lycosidae,Tortricidae,Family,Family,75,Adult,
Lygaeidae Lygaeidae,Lygaeidae,Lygaeidae,Family,Family,1; 2,,
Lygaeidae Plants,Lygaeidae,Plants,Family,Feeding guild,2,,
Lygaeidae Rhyparochromidae,Lygaeidae,Rhyparochromidae,Family,Family,1,,
Lymnaeidae Cerambycidae,Lymnaeidae,Cerambycidae,Family,Family,1,,
Lymnaeidae Hydridae,Lymnaeidae,Hydridae,Family,Family,72,Adult,Young and Adult
Lymnaeidae Plankton,Lymnaeidae,Plankton,Family,Feeding guild,2,Young,
Lymnaeidae Plants,Lymnaeidae,Plants,Family,Feeding guild,2,Young and Adult,Young
Miridae Agromyzidae,Miridae,Agromyzidae,Family,Family,1,,
Miridae Chrysomelidae,Miridae,Chrysomelidae,Family,Family,1; 2,,
Miridae Cicadellidae,Miridae,Cicadellidae,Family,Family,1,,
Miridae Formicidae,Miridae,Formicidae,Family,Family,1; 2,Young,Young
Miridae Miridae,Miridae,Miridae,Family,Family,1; 2,,
Miridae Plants,Miridae,Plants,Family,Feeding guild,2,,
Muscidae Anthomyiidae,Muscidae,Anthomyiidae,Family,Family,1; 2,Young,Young
Muscidae Calliphoridae,Muscidae,Calliphoridae,Family,Family,1; 2,Young,Young
Muscidae Ceratopogonidae,Muscidae,Ceratopogonidae,Family,Family,2,,
Muscidae Chironomidae,Muscidae,Chironomidae,Family,Family,1,Young,Young
Muscidae Culicidae,Muscidae,Culicidae,Family,Family,2,,
Muscidae Curculionidae,Muscidae,Curculionidae,Family,Family,2,,
Muscidae Ectopsocidae,Muscidae,Ectopsocidae,Family,Family,61,Adult,Adult
Muscidae Fanniidae,Muscidae,Fanniidae,Family,Family,68,Young,Young and Adult
Muscidae Lonchaeidae,Muscidae,Lonchaeidae,Family,Family,2,,
