"","Interaction","Source_Name","Target_Name","Source_Rank","Target_Rank","fg"
"950","Elateridae Cantharidae","Elateridae","Cantharidae","Family","Family","Omnivore"
"951","Elateridae Carabidae","Elateridae","Carabidae","Family","Family","Omnivore"
"952","Elateridae Cerambycidae","Elateridae","Cerambycidae","Family","Family","Omnivore"
"953","Elateridae Chordeumatidae","Elateridae","Chordeumatidae","Family","Family","Omnivore"
"954","Elateridae Chrysomelidae","Elateridae","Chrysomelidae","Family","Family","Omnivore"
"955","Elateridae Clubionidae","Elateridae","Clubionidae","Family","Family","Omnivore"
"956","Elateridae Coccinellidae","Elateridae","Coccinellidae","Family","Family","Omnivore"
"957","Elateridae Curculionidae","Elateridae","Curculionidae","Family","Family","Omnivore"
"958","Elateridae Elateridae","Elateridae","Elateridae","Family","Family","Omnivore"
"959","Elateridae Lampyridae","Elateridae","Lampyridae","Family","Family","Omnivore"
"960","Elateridae Mycetophagidae","Elateridae","Mycetophagidae","Family","Family","Omnivore"
"961","Elateridae Nitidulidae","Elateridae","Nitidulidae","Family","Family","Omnivore"
"962","Elateridae Plants","Elateridae","Plants","Family","Feeding guild","Omnivore"
"963","Elateridae Rhyparochromidae","Elateridae","Rhyparochromidae","Family","Family","Omnivore"
"964","Elateridae Scarabaeidae","Elateridae","Scarabaeidae","Family","Family","Omnivore"
"965","Elateridae Staphylinidae","Elateridae","Staphylinidae","Family","Family","Omnivore"
"966","Elipsocidae Terrestrial detritus","Elipsocidae","Terrestrial detritus","Family","Feeding guild","Detritivore"
"967","Ellobiidae Terrestrial detritus","Ellobiidae","Terrestrial detritus","Family","Feeding guild","Detritivore"
"968","Elmidae Algae","Elmidae","Algae","Family","Feeding guild","Phytosaprophage"
"969","Elmidae Microbes","Elmidae","Microbes","Family","Feeding guild","Phytosaprophage"
"970","Elmidae Plankton","Elmidae","Plankton","Family","Feeding guild","Phytosaprophage"
"971","Elmidae Plants","Elmidae","Plants","Family","Feeding guild","Phytosaprophage"
"972","Empididae Baetidae","Empididae","Baetidae","Family","Family","Omnivore"
"973","Empididae Caenidae","Empididae","Caenidae","Family","Family","Omnivore"
"974","Empididae Capniidae","Empididae","Capniidae","Family","Family","Omnivore"
"975","Empididae Cecidomyiidae","Empididae","Cecidomyiidae","Family","Family","Omnivore"
"976","Empididae Ceratopogonidae","Empididae","Ceratopogonidae","Family","Family","Omnivore"
"977","Empididae Chironomidae","Empididae","Chironomidae","Family","Family","Omnivore"
"978","Empididae Chloropidae","Empididae","Chloropidae","Family","Family","Omnivore"
"979","Empididae Chrysomelidae","Empididae","Chrysomelidae","Family","Family","Omnivore"
"980","Empididae Culicidae","Empididae","Culicidae","Family","Family","Omnivore"
"981","Empididae Curculionidae","Empididae","Curculionidae","Family","Family","Omnivore"
"982","Empididae Dixidae","Empididae","Dixidae","Family","Family","Omnivore"
"983","Empididae Dolichopodidae","Empididae","Dolichopodidae","Family","Family","Omnivore"
"984","Empididae Drosophilidae","Empididae","Drosophilidae","Family","Family","Omnivore"
"985","Empididae Dryopidae","Empididae","Dryopidae","Family","Family","Omnivore"
"986","Empididae Elmidae","Empididae","Elmidae","Family","Family","Omnivore"
"987","Empididae Ephemeridae","Empididae","Ephemeridae","Family","Family","Omnivore"
"988","Empididae Ephydridae","Empididae","Ephydridae","Family","Family","Omnivore"
"989","Empididae Gammaridae","Empididae","Gammaridae","Family","Family","Omnivore"
"990","Empididae Haliplidae","Empididae","Haliplidae","Family","Family","Omnivore"
"991","Empididae Heptageniidae","Empididae","Heptageniidae","Family","Family","Omnivore"
"992","Empididae Hybotidae","Empididae","Hybotidae","Family","Family","Omnivore"
"993","Empididae Hydrophilidae","Empididae","Hydrophilidae","Family","Family","Omnivore"
"994","Empididae Lepidostomatidae","Empididae","Lepidostomatidae","Family","Family","Omnivore"
"995","Empididae Leuctridae","Empididae","Leuctridae","Family","Family","Omnivore"
"996","Empididae Limnephilidae","Empididae","Limnephilidae","Family","Family","Omnivore"
"997","Empididae Limoniidae","Empididae","Limoniidae","Family","Family","Omnivore"
"998","Empididae Lymnaeidae","Empididae","Lymnaeidae","Family","Family","Omnivore"
"999","Empididae Nemouridae","Empididae","Nemouridae","Family","Family","Omnivore"
"1000","Empididae Philopotamidae","Empididae","Philopotamidae","Family","Family","Omnivore"
"1001","Empididae Phoridae","Empididae","Phoridae","Family","Family","Omnivore"
"1002","Empididae Physidae","Empididae","Physidae","Family","Family","Omnivore"
"1003","Empididae Plankton","Empididae","Plankton","Family","Feeding guild","Omnivore"
"1004","Empididae Plants","Empididae","Plants","Family","Feeding guild","Omnivore"
"1005","Empididae Psychodidae","Empididae","Psychodidae","Family","Family","Omnivore"
"1006","Empididae Ptychopteridae","Empididae","Ptychopteridae","Family","Family","Omnivore"
"1007","Empididae Sciaridae","Empididae","Sciaridae","Family","Family","Omnivore"
"1008","Empididae Scirtidae","Empididae","Scirtidae","Family","Family","Omnivore"
"1009","Empididae Simuliidae","Empididae","Simuliidae","Family","Family","Omnivore"
"1010","Empididae Stratiomyidae","Empididae","Stratiomyidae","Family","Family","Omnivore"
"1011","Empididae Syrphidae","Empididae","Syrphidae","Family","Family","Omnivore"
"1012","Empididae Tipulidae","Empididae","Tipulidae","Family","Family","Omnivore"
"1013","Ephemeridae Plants","Ephemeridae","Plants","Family","Feeding guild","Herbivore"
"1014","Ephydridae Algae","Ephydridae","Algae","Family","Feeding guild","Omnivore"
"1015","Ephydridae Aquatic detritus","Ephydridae","Aquatic detritus","Family","Feeding guild","Omnivore"
"1016","Ephydridae Cecidomyiidae","Ephydridae","Cecidomyiidae","Family","Family","Omnivore"
"1017","Ephydridae Ceratopogonidae","Ephydridae","Ceratopogonidae","Family","Family","Omnivore"
"1018","Ephydridae Chironomidae","Ephydridae","Chironomidae","Family","Family","Omnivore"
"1019","Ephydridae Hybotidae","Ephydridae","Hybotidae","Family","Family","Omnivore"
"1020","Ephydridae Microbes","Ephydridae","Microbes","Family","Feeding guild","Omnivore"
"1021","Ephydridae Plants","Ephydridae","Plants","Family","Feeding guild","Omnivore"
"1022","Ephydridae Psychodidae","Ephydridae","Psychodidae","Family","Family","Omnivore"
"1023","Erebidae Agromyzidae","Erebidae","Agromyzidae","Family","Family","Omnivore"
"1024","Erebidae Plants","Erebidae","Plants","Family","Feeding guild","Omnivore"
"1025","Eurycercidae Algae","Eurycercidae","Algae","Family","Feeding guild","Detritivore"
"1026","Eurycercidae Aquatic detritus","Eurycercidae","Aquatic detritus","Family","Feeding guild","Detritivore"
"1027","Fanniidae Aquatic detritus","Fanniidae","Aquatic detritus","Family","Feeding guild","Detritivore"
"1028","Fanniidae Fungi","Fanniidae","Fungi","Family","Feeding guild","Detritivore"
"1029","Fanniidae Scavenger","Fanniidae","Scavenger","Family","Feeding guild","Detritivore"
"1030","Formicidae Carabidae","Formicidae","Carabidae","Family","Family","Omnivore"
"1031","Formicidae Cerambycidae","Formicidae","Cerambycidae","Family","Family","Omnivore"
"1032","Formicidae Chironomidae","Formicidae","Chironomidae","Family","Family","Omnivore"
"1033","Formicidae Chrysomelidae","Formicidae","Chrysomelidae","Family","Family","Omnivore"
"1034","Formicidae Cicadellidae","Formicidae","Cicadellidae","Family","Family","Omnivore"
"1035","Formicidae Clubionidae","Formicidae","Clubionidae","Family","Family","Omnivore"
"1036","Formicidae Coccinellidae","Formicidae","Coccinellidae","Family","Family","Omnivore"
"1037","Formicidae Dytiscidae","Formicidae","Dytiscidae","Family","Family","Omnivore"
"1038","Formicidae Erebidae","Formicidae","Erebidae","Family","Family","Omnivore"
"1039","Formicidae Fanniidae","Formicidae","Fanniidae","Family","Family","Omnivore"
"1040","Formicidae Formicidae","Formicidae","Formicidae","Family","Family","Omnivore"
"1041","Formicidae Geometridae","Formicidae","Geometridae","Family","Family","Omnivore"
"1042","Formicidae Hemerobiidae","Formicidae","Hemerobiidae","Family","Family","Omnivore"
"1043","Formicidae Lycosidae","Formicidae","Lycosidae","Family","Family","Omnivore"
"1044","Formicidae Muscidae","Formicidae","Muscidae","Family","Family","Omnivore"
"1045","Formicidae Nitidulidae","Formicidae","Nitidulidae","Family","Family","Omnivore"
"1046","Formicidae Noctuidae","Formicidae","Noctuidae","Family","Family","Omnivore"
"1047","Formicidae Peripsocidae","Formicidae","Peripsocidae","Family","Family","Omnivore"
"1048","Formicidae Plants","Formicidae","Plants","Family","Feeding guild","Omnivore"
"1049","Formicidae Psychodidae","Formicidae","Psychodidae","Family","Family","Omnivore"
"1050","Formicidae Sepsidae","Formicidae","Sepsidae","Family","Family","Omnivore"
"1051","Formicidae Staphylinidae","Formicidae","Staphylinidae","Family","Family","Omnivore"
"1052","Formicidae Tephritidae","Formicidae","Tephritidae","Family","Family","Omnivore"
"1053","Gammaridae Algae","Gammaridae","Algae","Family","Feeding guild","Omnivore"
"1054","Gammaridae Aquatic detritus","Gammaridae","Aquatic detritus","Family","Feeding guild","Omnivore"
"1055","Gammaridae Baetidae","Gammaridae","Baetidae","Family","Family","Omnivore"
"1056","Gammaridae Caenidae","Gammaridae","Caenidae","Family","Family","Omnivore"
"1057","Gammaridae Capniidae","Gammaridae","Capniidae","Family","Family","Omnivore"
"1058","Gammaridae Chironomidae","Gammaridae","Chironomidae","Family","Family","Omnivore"
"1059","Gammaridae Chrysomelidae","Gammaridae","Chrysomelidae","Family","Family","Omnivore"
"1060","Gammaridae Culicidae","Gammaridae","Culicidae","Family","Family","Omnivore"
"1061","Gammaridae Curculionidae","Gammaridae","Curculionidae","Family","Family","Omnivore"
"1062","Gammaridae Dixidae","Gammaridae","Dixidae","Family","Family","Omnivore"
"1063","Gammaridae Dryopidae","Gammaridae","Dryopidae","Family","Family","Omnivore"
"1064","Gammaridae Elmidae","Gammaridae","Elmidae","Family","Family","Omnivore"
"1065","Gammaridae Ephemeridae","Gammaridae","Ephemeridae","Family","Family","Omnivore"
"1066","Gammaridae Ephydridae","Gammaridae","Ephydridae","Family","Family","Omnivore"
"1067","Gammaridae Fungi","Gammaridae","Fungi","Family","Feeding guild","Omnivore"
"1068","Gammaridae Gammaridae","Gammaridae","Gammaridae","Family","Family","Omnivore"
"1069","Gammaridae Haliplidae","Gammaridae","Haliplidae","Family","Family","Omnivore"
"1070","Gammaridae Heptageniidae","Gammaridae","Heptageniidae","Family","Family","Omnivore"
"1071","Gammaridae Hydrophilidae","Gammaridae","Hydrophilidae","Family","Family","Omnivore"
"1072","Gammaridae Lepidostomatidae","Gammaridae","Lepidostomatidae","Family","Family","Omnivore"
"1073","Gammaridae Leuctridae","Gammaridae","Leuctridae","Family","Family","Omnivore"
"1074","Gammaridae Limnephilidae","Gammaridae","Limnephilidae","Family","Family","Omnivore"
"1075","Gammaridae Limoniidae","Gammaridae","Limoniidae","Family","Family","Omnivore"
"1076","Gammaridae Lymnaeidae","Gammaridae","Lymnaeidae","Family","Family","Omnivore"
"1077","Gammaridae Microbes","Gammaridae","Microbes","Family","Feeding guild","Omnivore"
"1078","Gammaridae Nemouridae","Gammaridae","Nemouridae","Family","Family","Omnivore"
"1079","Gammaridae Philopotamidae","Gammaridae","Philopotamidae","Family","Family","Omnivore"
"1080","Gammaridae Physidae","Gammaridae","Physidae","Family","Family","Omnivore"
"1081","Gammaridae Plants","Gammaridae","Plants","Family","Feeding guild","Omnivore"
"1082","Gammaridae Psychodidae","Gammaridae","Psychodidae","Family","Family","Omnivore"
"1083","Gammaridae Ptychopteridae","Gammaridae","Ptychopteridae","Family","Family","Omnivore"
"1084","Gammaridae Scavenger","Gammaridae","Scavenger","Family","Feeding guild","Omnivore"
"1085","Gammaridae Scirtidae","Gammaridae","Scirtidae","Family","Family","Omnivore"
"1086","Gammaridae Simuliidae","Gammaridae","Simuliidae","Family","Family","Omnivore"
"1087","Gammaridae Stratiomyidae","Gammaridae","Stratiomyidae","Family","Family","Omnivore"
"1088","Gammaridae Syrphidae","Gammaridae","Syrphidae","Family","Family","Omnivore"
"1089","Gammaridae Tipulidae","Gammaridae","Tipulidae","Family","Family","Omnivore"
"1090","Geometridae Agromyzidae","Geometridae","Agromyzidae","Family","Family","Omnivore"
"1091","Geometridae Plants","Geometridae","Plants","Family","Feeding guild","Omnivore"
"1092","Geometridae Tenthredinidae","Geometridae","Tenthredinidae","Family","Family","Omnivore"
"1093","Geophilidae Cantharidae","Geophilidae","Cantharidae","Family","Family","Omnivore"
"1094","Geophilidae Carabidae","Geophilidae","Carabidae","Family","Family","Omnivore"
"1095","Geophilidae Chordeumatidae","Geophilidae","Chordeumatidae","Family","Family","Omnivore"
"1096","Geophilidae Chrysomelidae","Geophilidae","Chrysomelidae","Family","Family","Omnivore"
"1097","Geophilidae Clubionidae","Geophilidae","Clubionidae","Family","Family","Omnivore"
"1098","Geophilidae Coccinellidae","Geophilidae","Coccinellidae","Family","Family","Omnivore"
"1099","Geophilidae Curculionidae","Geophilidae","Curculionidae","Family","Family","Omnivore"
"1100","Geophilidae Dytiscidae","Geophilidae","Dytiscidae","Family","Family","Omnivore"
"1101","Geophilidae Elateridae","Geophilidae","Elateridae","Family","Family","Omnivore"
"1102","Geophilidae Geophilidae","Geophilidae","Geophilidae","Family","Family","Omnivore"
"1103","Geophilidae Lampyridae","Geophilidae","Lampyridae","Family","Family","Omnivore"
"1104","Geophilidae Lycosidae","Geophilidae","Lycosidae","Family","Family","Omnivore"
"1105","Geophilidae Nitidulidae","Geophilidae","Nitidulidae","Family","Family","Omnivore"
"1106","Geophilidae Phalangiidae","Geophilidae","Phalangiidae","Family","Family","Omnivore"
"1107","Geophilidae Plants","Geophilidae","Plants","Family","Feeding guild","Omnivore"
"1108","Geophilidae Scutigerellidae","Geophilidae","Scutigerellidae","Family","Family","Omnivore"
"1109","Geophilidae Staphylinidae","Geophilidae","Staphylinidae","Family","Family","Omnivore"
"1110","Gerridae Baetidae","Gerridae","Baetidae","Family","Family","Omnivore"
"1111","Gerridae Caenidae","Gerridae","Caenidae","Family","Family","Omnivore"
"1112","Gerridae Capniidae","Gerridae","Capniidae","Family","Family","Omnivore"
"1113","Gerridae Ceratopogonidae","Gerridae","Ceratopogonidae","Family","Family","Omnivore"
"1114","Gerridae Chironomidae","Gerridae","Chironomidae","Family","Family","Omnivore"
"1115","Gerridae Chrysomelidae","Gerridae","Chrysomelidae","Family","Family","Omnivore"
"1116","Gerridae Coenagrionidae","Gerridae","Coenagrionidae","Family","Family","Omnivore"
"1117","Gerridae Culicidae","Gerridae","Culicidae","Family","Family","Omnivore"
"1118","Gerridae Curculionidae","Gerridae","Curculionidae","Family","Family","Omnivore"
"1119","Gerridae Dixidae","Gerridae","Dixidae","Family","Family","Omnivore"
"1120","Gerridae Dryopidae","Gerridae","Dryopidae","Family","Family","Omnivore"
"1121","Gerridae Elmidae","Gerridae","Elmidae","Family","Family","Omnivore"
"1122","Gerridae Ephemeridae","Gerridae","Ephemeridae","Family","Family","Omnivore"
"1123","Gerridae Ephydridae","Gerridae","Ephydridae","Family","Family","Omnivore"
"1124","Gerridae Fungi","Gerridae","Fungi","Family","Feeding guild","Omnivore"
"1125","Gerridae Gammaridae","Gerridae","Gammaridae","Family","Family","Omnivore"
"1126","Gerridae Gerridae","Gerridae","Gerridae","Family","Family","Omnivore"
"1127","Gerridae Haliplidae","Gerridae","Haliplidae","Family","Family","Omnivore"
"1128","Gerridae Heptageniidae","Gerridae","Heptageniidae","Family","Family","Omnivore"
"1129","Gerridae Hydrophilidae","Gerridae","Hydrophilidae","Family","Family","Omnivore"
"1130","Gerridae Lepidostomatidae","Gerridae","Lepidostomatidae","Family","Family","Omnivore"
"1131","Gerridae Leuctridae","Gerridae","Leuctridae","Family","Family","Omnivore"
"1132","Gerridae Libellulidae","Gerridae","Libellulidae","Family","Family","Omnivore"
"1133","Gerridae Limnephilidae","Gerridae","Limnephilidae","Family","Family","Omnivore"
"1134","Gerridae Limoniidae","Gerridae","Limoniidae","Family","Family","Omnivore"
"1135","Gerridae Lycosidae","Gerridae","Lycosidae","Family","Family","Omnivore"
"1136","Gerridae Lymnaeidae","Gerridae","Lymnaeidae","Family","Family","Omnivore"
"1137","Gerridae Nemouridae","Gerridae","Nemouridae","Family","Family","Omnivore"
"1138","Gerridae Notonectidae","Gerridae","Notonectidae","Family","Family","Omnivore"
"1139","Gerridae Philopotamidae","Gerridae","Philopotamidae","Family","Family","Omnivore"
"1140","Gerridae Physidae","Gerridae","Physidae","Family","Family","Omnivore"
"1141","Gerridae Plankton","Gerridae","Plankton","Family","Feeding guild","Omnivore"
"1142","Gerridae Psychodidae","Gerridae","Psychodidae","Family","Family","Omnivore"
"1143","Gerridae Ptychopteridae","Gerridae","Ptychopteridae","Family","Family","Omnivore"
"1144","Gerridae Scavenger","Gerridae","Scavenger","Family","Feeding guild","Omnivore"
"1145","Gerridae Scirtidae","Gerridae","Scirtidae","Family","Family","Omnivore"
"1146","Gerridae Simuliidae","Gerridae","Simuliidae","Family","Family","Omnivore"
"1147","Gerridae Stratiomyidae","Gerridae","Stratiomyidae","Family","Family","Omnivore"
"1148","Gerridae Syrphidae","Gerridae","Syrphidae","Family","Family","Omnivore"
"1149","Gerridae Tipulidae","Gerridae","Tipulidae","Family","Family","Omnivore"
"1150","Haliplidae Algae","Haliplidae","Algae","Family","Feeding guild","Omnivore"
"1151","Haliplidae Cecidomyiidae","Haliplidae","Cecidomyiidae","Family","Family","Omnivore"
"1152","Haliplidae Ceratopogonidae","Haliplidae","Ceratopogonidae","Family","Family","Omnivore"
"1153","Haliplidae Chaoboridae","Haliplidae","Chaoboridae","Family","Family","Omnivore"
"1154","Haliplidae Chironomidae","Haliplidae","Chironomidae","Family","Family","Omnivore"
"1155","Haliplidae Culicidae","Haliplidae","Culicidae","Family","Family","Omnivore"
"1156","Haliplidae Dixidae","Haliplidae","Dixidae","Family","Family","Omnivore"
"1157","Haliplidae Limoniidae","Haliplidae","Limoniidae","Family","Family","Omnivore"
"1158","Haliplidae Pediciidae","Haliplidae","Pediciidae","Family","Family","Omnivore"
"1159","Haliplidae Plankton","Haliplidae","Plankton","Family","Feeding guild","Omnivore"
"1160","Haliplidae Plants","Haliplidae","Plants","Family","Feeding guild","Omnivore"
"1161","Haliplidae Psychodidae","Haliplidae","Psychodidae","Family","Family","Omnivore"
"1162","Haliplidae Ptychopteridae","Haliplidae","Ptychopteridae","Family","Family","Omnivore"
"1163","Haliplidae Sciaridae","Haliplidae","Sciaridae","Family","Family","Omnivore"
"1164","Haliplidae Simuliidae","Haliplidae","Simuliidae","Family","Family","Omnivore"
"1165","Haliplidae Tipulidae","Haliplidae","Tipulidae","Family","Family","Omnivore"
"1166","Haliplidae Trichoceridae","Haliplidae","Trichoceridae","Family","Family","Omnivore"
"1167","Heleomyzidae Fungi","Heleomyzidae","Fungi","Family","Feeding guild","Phytosaprophage"
"1168","Heleomyzidae Plants","Heleomyzidae","Plants","Family","Feeding guild","Phytosaprophage"
"1169","Heleomyzidae Terrestrial detritus","Heleomyzidae","Terrestrial detritus","Family","Feeding guild","Phytosaprophage"
"1170","Hemerobiidae Baetidae","Hemerobiidae","Baetidae","Family","Family","Omnivore"
"1171","Hemerobiidae Elipsocidae","Hemerobiidae","Elipsocidae","Family","Family","Omnivore"
"1172","Hemerobiidae Leuctridae","Hemerobiidae","Leuctridae","Family","Family","Omnivore"
"1173","Hemerobiidae Nemouridae","Hemerobiidae","Nemouridae","Family","Family","Omnivore"
"1174","Hemerobiidae Peripsocidae","Hemerobiidae","Peripsocidae","Family","Family","Omnivore"
"1175","Hemerobiidae Philopotamidae","Hemerobiidae","Philopotamidae","Family","Family","Omnivore"
"1176","Hemerobiidae Plants","Hemerobiidae","Plants","Family","Feeding guild","Omnivore"
"1177","Hepialidae Plants","Hepialidae","Plants","Family","Feeding guild","Phytosaprophage"
"1178","Hepialidae Terrestrial detritus","Hepialidae","Terrestrial detritus","Family","Feeding guild","Phytosaprophage"
"1179","Heptageniidae Plankton","Heptageniidae","Plankton","Family","Feeding guild","Phytosaprophage"
"1180","Heptageniidae Plants","Heptageniidae","Plants","Family","Feeding guild","Phytosaprophage"
"1181","Hybotidae Cecidomyiidae","Hybotidae","Cecidomyiidae","Family","Family","Predator"
"1182","Hydridae Cyclopidae","Hydridae","Cyclopidae","Family","Family","Predator"
"1183","Hydridae Daphniidae","Hydridae","Daphniidae","Family","Family","Predator"
"1184","Hydrodromidae Chironomidae","Hydrodromidae","Chironomidae","Family","Family","Predator"
"1185","Hydrophilidae Aquatic detritus","Hydrophilidae","Aquatic detritus","Family","Feeding guild","Omnivore"
"1186","Hydrophilidae Plankton","Hydrophilidae","Plankton","Family","Feeding guild","Omnivore"
"1187","Hydrophilidae Plants","Hydrophilidae","Plants","Family","Feeding guild","Omnivore"
"1188","Hydrophilidae Scavenger","Hydrophilidae","Scavenger","Family","Feeding guild","Omnivore"
"1189","Hydrophilidae Sepsidae","Hydrophilidae","Sepsidae","Family","Family","Omnivore"
"1190","Isopoda Aquatic detritus","Philosciidae","Aquatic detritus","Feeding guild","Feeding guild","Detritivore"
"1191","Isopoda Aquatic detritus","Trachelipodidae","Aquatic detritus","Feeding guild","Feeding guild","Detritivore"
"1192","Isopoda Aquatic detritus","Trichoniscidae","Aquatic detritus","Feeding guild","Feeding guild","Detritivore"
"1193","Isopoda Terrestrial detritus","Philosciidae","Terrestrial detritus","Feeding guild","Feeding guild","Detritivore"
"1194","Isopoda Terrestrial detritus","Trachelipodidae","Terrestrial detritus","Feeding guild","Feeding guild","Detritivore"
"1195","Isopoda Terrestrial detritus","Trichoniscidae","Terrestrial detritus","Feeding guild","Feeding guild","Detritivore"
"1196","Lauxaniidae Plants","Lauxaniidae","Plants","Family","Feeding guild","Phytosaprophage"
"1197","Lauxaniidae Terrestrial detritus","Lauxaniidae","Terrestrial detritus","Family","Feeding guild","Phytosaprophage"
"1198","Lepidostomatidae Plants","Lepidostomatidae","Plants","Family","Feeding guild","Phytosaprophage"
"1199","Lepidostomatidae Scavenger","Lepidostomatidae","Scavenger","Family","Feeding guild","Phytosaprophage"
"1200","Lepidostomatidae Terrestrial detritus","Lepidostomatidae","Terrestrial detritus","Family","Feeding guild","Phytosaprophage"
"1201","Leuctridae Algae","Leuctridae","Algae","Family","Feeding guild","Phytosaprophage"
"1202","Leuctridae Aquatic detritus","Leuctridae","Aquatic detritus","Family","Feeding guild","Phytosaprophage"
"1203","Leuctridae Plants","Leuctridae","Plants","Family","Feeding guild","Phytosaprophage"
"1204","Libellulidae Agromyzidae","Libellulidae","Agromyzidae","Family","Family","Omnivore"
"1205","Libellulidae Baetidae","Libellulidae","Baetidae","Family","Family","Omnivore"
"1206","Libellulidae Caenidae","Libellulidae","Caenidae","Family","Family","Omnivore"
"1207","Libellulidae Calliphoridae","Libellulidae","Calliphoridae","Family","Family","Omnivore"
"1208","Libellulidae Cantharidae","Libellulidae","Cantharidae","Family","Family","Omnivore"
"1209","Libellulidae Cecidomyiidae","Libellulidae","Cecidomyiidae","Family","Family","Omnivore"
"1210","Libellulidae Ceratopogonidae","Libellulidae","Ceratopogonidae","Family","Family","Omnivore"
"1211","Libellulidae Chironomidae","Libellulidae","Chironomidae","Family","Family","Omnivore"
"1212","Libellulidae Chloropidae","Libellulidae","Chloropidae","Family","Family","Omnivore"
"1213","Libellulidae Chrysomelidae","Libellulidae","Chrysomelidae","Family","Family","Omnivore"
"1214","Libellulidae Cicadellidae","Libellulidae","Cicadellidae","Family","Family","Omnivore"
"1215","Libellulidae Coccinellidae","Libellulidae","Coccinellidae","Family","Family","Omnivore"
"1216","Libellulidae Coenagrionidae","Libellulidae","Coenagrionidae","Family","Family","Omnivore"
"1217","Libellulidae Curculionidae","Libellulidae","Curculionidae","Family","Family","Omnivore"
"1218","Libellulidae Dolichopodidae","Libellulidae","Dolichopodidae","Family","Family","Omnivore"
"1219","Libellulidae Drosophilidae","Libellulidae","Drosophilidae","Family","Family","Omnivore"
"1220","Libellulidae Dytiscidae","Libellulidae","Dytiscidae","Family","Family","Omnivore"
"1221","Libellulidae Elateridae","Libellulidae","Elateridae","Family","Family","Omnivore"
"1222","Libellulidae Empididae","Libellulidae","Empididae","Family","Family","Omnivore"
"1223","Libellulidae Ephydridae","Libellulidae","Ephydridae","Family","Family","Omnivore"
"1224","Libellulidae Formicidae","Libellulidae","Formicidae","Family","Family","Omnivore"
"1225","Libellulidae Geometridae","Libellulidae","Geometridae","Family","Family","Omnivore"
"1226","Libellulidae Haliplidae","Libellulidae","Haliplidae","Family","Family","Omnivore"
"1227","Libellulidae Hybotidae","Libellulidae","Hybotidae","Family","Family","Omnivore"
"1228","Libellulidae Libellulidae","Libellulidae","Libellulidae","Family","Family","Omnivore"
"1229","Libellulidae Limnephilidae","Libellulidae","Limnephilidae","Family","Family","Omnivore"
"1230","Libellulidae Limoniidae","Libellulidae","Limoniidae","Family","Family","Omnivore"
"1231","Libellulidae Lymnaeidae","Libellulidae","Lymnaeidae","Family","Family","Omnivore"
"1232","Libellulidae Muscidae","Libellulidae","Muscidae","Family","Family","Omnivore"
"1233","Libellulidae Nitidulidae","Libellulidae","Nitidulidae","Family","Family","Omnivore"
"1234","Libellulidae Noctuidae","Libellulidae","Noctuidae","Family","Family","Omnivore"
"1235","Libellulidae Notonectidae","Libellulidae","Notonectidae","Family","Family","Omnivore"
"1236","Libellulidae Phoridae","Libellulidae","Phoridae","Family","Family","Omnivore"
"1237","Libellulidae Plants","Libellulidae","Plants","Family","Feeding guild","Omnivore"
"1238","Libellulidae Psychodidae","Libellulidae","Psychodidae","Family","Family","Omnivore"
"1239","Libellulidae Sarcophagidae","Libellulidae","Sarcophagidae","Family","Family","Omnivore"
"1240","Libellulidae Sciaridae","Libellulidae","Sciaridae","Family","Family","Omnivore"
"1241","Libellulidae Sciomyzidae","Libellulidae","Sciomyzidae","Family","Family","Omnivore"
"1242","Libellulidae Sialidae","Libellulidae","Sialidae","Family","Family","Omnivore"
"1243","Libellulidae Syrphidae","Libellulidae","Syrphidae","Family","Family","Omnivore"
"1244","Libellulidae Tipulidae","Libellulidae","Tipulidae","Family","Family","Omnivore"
"1245","Limnephilidae Algae","Limnephilidae","Algae","Family","Feeding guild","Omnivore"
"1246","Limnephilidae Aquatic detritus","Limnephilidae","Aquatic detritus","Family","Feeding guild","Omnivore"
"1247","Limnephilidae Baetidae","Limnephilidae","Baetidae","Family","Family","Omnivore"
"1248","Limnephilidae Caenidae","Limnephilidae","Caenidae","Family","Family","Omnivore"
"1249","Limnephilidae Capniidae","Limnephilidae","Capniidae","Family","Family","Omnivore"
"1250","Limnephilidae Chironomidae","Limnephilidae","Chironomidae","Family","Family","Omnivore"
"1251","Limnephilidae Chrysomelidae","Limnephilidae","Chrysomelidae","Family","Family","Omnivore"
"1252","Limnephilidae Culicidae","Limnephilidae","Culicidae","Family","Family","Omnivore"
"1253","Limnephilidae Curculionidae","Limnephilidae","Curculionidae","Family","Family","Omnivore"
"1254","Limnephilidae Dixidae","Limnephilidae","Dixidae","Family","Family","Omnivore"
"1255","Limnephilidae Dryopidae","Limnephilidae","Dryopidae","Family","Family","Omnivore"
"1256","Limnephilidae Dytiscidae","Limnephilidae","Dytiscidae","Family","Family","Omnivore"
"1257","Limnephilidae Elmidae","Limnephilidae","Elmidae","Family","Family","Omnivore"
"1258","Limnephilidae Ephemeridae","Limnephilidae","Ephemeridae","Family","Family","Omnivore"
"1259","Limnephilidae Ephydridae","Limnephilidae","Ephydridae","Family","Family","Omnivore"
"1260","Limnephilidae Gammaridae","Limnephilidae","Gammaridae","Family","Family","Omnivore"
"1261","Limnephilidae Haliplidae","Limnephilidae","Haliplidae","Family","Family","Omnivore"
"1262","Limnephilidae Heptageniidae","Limnephilidae","Heptageniidae","Family","Family","Omnivore"
